previous_crop,temperature,humidity,moisture,soil_type,soil_ph,rainfall,recommended_crop,
Ground Nuts,35.33,57.99,70,Clay,11.3,923,Oilseeds,
Barley,27.72,44.26,20,Loamy,2.8,1317,Sugarcane,
Barley,32.64,48.78,46.52,Clay,9.3,1585,Sugarcane,
Tobacco,20.18,51.57,34.03,Sandy,12.4,1714,Maize,
Tobacco,32.15,57.67,51.66,Red,7.8,2037,Maize,
Cotton,31.33,55.22,24.37,Sandy,6,999,Ground Nuts,
Sugarcane,25.58,54.13,29.55,Black,0.2,410,Wheat,
Ground Nuts,23.98,55.05,31.37,Clay,6,2433,Oilseeds,
Barley,32.63,64.09,48.36,Loamy,4.8,2982,Sugarcane,
Maize,30.75,52.41,37.5,Loamy,5.4,1592,Pulses,
Soybeans,27.83,48.97,45.35,Loamy,5.7,631,Cotton,
Sugarcane,29.78,57.79,45.7,Clay,3.6,2193,Wheat,
Sugarcane,27.09,53.92,37.19,Loamy,1.6,2465,Wheat,
Sugarcane,26.43,60.25,35.78,Sandy,0.7,2387,Wheat,
Pulses,27.82,48.81,25.68,Black,9.2,930,Barley,
Millet,33.4,62.87,43.1,Clay,12.6,1880,Tobacco,
Maize,31.47,62.21,66.18,Black,11.9,2901,Pulses,
Pulses,31.35,67.11,31.38,Loamy,2.2,2726,Barley,
Barley,26.82,51.3,34.82,Red,11.7,743,Sugarcane,
Maize,26.78,65.69,55.2,Sandy,4,1956,Pulses,
Ground Nuts,25.92,47.69,61.97,Clay,9.8,2062,Oilseeds,
Sugarcane,27.58,42.95,54.69,Sandy,1.4,1930,Wheat,
Sugarcane,34.13,69.91,26.15,Sandy,0.8,2484,Wheat,
Tobacco,27.47,46.61,31.72,Loamy,11.8,577,Maize,
Maize,37.79,66.43,53.61,Black,3.5,2838,Pulses,
Soybeans,37.81,64.17,31.59,Sandy,12.2,1031,Cotton,
Soybeans,30.8,58.77,21.23,Sandy,6.8,1853,Cotton,
Maize,28.25,54.74,70,Red,1,2181,Pulses,
Pulses,26.16,45.71,32.82,Clay,5.3,1155,Barley,
Pulses,33.66,67.43,38.06,Sandy,11.9,761,Barley,
Maize,34.91,57.74,67.05,Clay,3.4,347,Pulses,
Tobacco,27.14,52.85,56.68,Sandy,6.4,484,Maize,
Millet,29.99,45.79,31.39,Black,4.8,2842,Tobacco,
Tobacco,39.07,73.97,37.05,Loamy,9.2,1241,Maize,
Pulses,25.64,57.81,39.15,Black,1.3,525,Barley,
Sugarcane,32.86,61.11,38.13,Black,9.4,2661,Wheat,
Wheat,35.95,56.17,51.09,Black,6.8,1865,Soybeans,
Wheat,38.15,76.07,50.5,Black,13.4,1130,Soybeans,
Maize,27.97,61.87,53.56,Black,3,2474,Pulses,
Wheat,32.21,69.43,39.24,Red,1.6,270,Soybeans,
Maize,35.52,75,62.64,Black,0.7,2498,Pulses,
Maize,27.25,57.18,56.38,Clay,7,2461,Pulses,
Soybeans,34.84,55.67,20,Black,11,2266,Cotton,
Pulses,38.74,72.41,27.4,Red,3.8,751,Barley,
Cotton,26.87,52.34,36.12,Black,11.2,578,Ground Nuts,
Wheat,33.62,61.17,32.6,Clay,7.7,1750,Soybeans,
Maize,31.47,70.69,49.36,Black,9.4,1676,Pulses,
Maize,20.18,49.8,27.78,Red,2,504,Pulses,
Wheat,29.22,51.72,43.95,Black,12.5,861,Soybeans,
Sugarcane,31.2,50.88,26.64,Red,1,1929,Wheat,
Wheat,35.95,72.98,52.9,Clay,6.8,358,Soybeans,
Tobacco,38.86,75.86,37.69,Clay,10,2954,Maize,
Sugarcane,35.31,77.47,46.4,Clay,13.7,1526,Wheat,
Wheat,26.12,58.73,50.26,Clay,11.9,1290,Soybeans,
Tobacco,25.49,50.89,63.63,Loamy,1.4,1693,Maize,
Cotton,31.88,52.97,49.87,Black,6.6,633,Ground Nuts,
Tobacco,33.94,55.33,48.3,Clay,10.5,444,Maize,
Soybeans,27.97,47.65,45.75,Black,1.9,598,Cotton,
Maize,29.43,65.58,51.3,Clay,9.3,1731,Pulses,
Sugarcane,29.37,58.44,44.49,Black,4.9,554,Wheat,
Wheat,27.43,56.68,24.36,Clay,13.6,802,Soybeans,
Pulses,32.66,59.5,27,Black,9.7,2848,Barley,
Ground Nuts,25.17,43.89,65.91,Black,6.3,463,Oilseeds,
Barley,27.51,55.86,41.39,Black,5.4,1740,Sugarcane,
Maize,29.29,69.9,43.81,Black,9.9,1624,Pulses,
Maize,32.07,63.03,39.38,Sandy,0.9,265,Pulses,
Sugarcane,30.29,69.78,31.58,Black,4.2,547,Wheat,
Tobacco,22.46,48.46,43.17,Clay,10.6,1898,Maize,
Ground Nuts,24.89,41.79,54.45,Black,2.9,2293,Oilseeds,
Barley,29.43,62.46,43.26,Black,13.2,1208,Sugarcane,
Pulses,40,76.58,43.4,Clay,12.7,658,Barley,
Wheat,33.82,63.87,30.01,Black,3.5,268,Soybeans,
Wheat,36.91,75,34.75,Clay,2.4,1633,Soybeans,
Sugarcane,29.11,66.22,57.05,Black,6.9,1351,Wheat,
Ground Nuts,23.97,42.57,33.9,Loamy,7.6,1977,Oilseeds,
Barley,28.56,69.25,43.73,Red,0.7,2021,Sugarcane,
Sugarcane,24.78,56.42,25.51,Clay,3.6,2936,Wheat,
Millet,28.78,60.98,46.86,Clay,10.5,739,Tobacco,
Cotton,25.83,42.5,60.32,Clay,0.8,1455,Ground Nuts,
Soybeans,21.27,59.98,35.59,Red,1.4,2810,Cotton,
Ground Nuts,27.79,46.46,33.4,Black,4.5,660,Oilseeds,
Tobacco,26.57,52.98,56.7,Sandy,10.8,1463,Maize,
Barley,27.78,57.1,42.64,Black,12.1,2439,Sugarcane,
Sugarcane,29.83,64.29,45.68,Black,5.7,2965,Wheat,
Pulses,23.56,56.69,37.04,Red,5.6,1144,Barley,
Ground Nuts,31.85,62.5,31.51,Sandy,2.6,1370,Oilseeds,
Soybeans,27.02,55.09,35.69,Red,14,2158,Cotton,
Soybeans,25.4,59.23,35.65,Clay,11.5,2129,Cotton,
Tobacco,28.2,47.14,48.34,Black,1.7,2517,Maize,
Maize,34.32,61.36,44.53,Black,13.2,448,Pulses,
Tobacco,34.8,76.07,30.81,Red,4.3,1621,Maize,
Ground Nuts,33.52,65.3,40.12,Clay,12.8,1977,Oilseeds,
Wheat,29.16,51.25,37.86,Red,8.3,871,Soybeans,
Cotton,33.55,69.48,37.73,Clay,1.5,1472,Ground Nuts,
Soybeans,35.14,68.94,36.73,Sandy,13.6,1583,Cotton,
Soybeans,31.21,67.98,48.85,Black,8.6,1513,Cotton,
Tobacco,27.89,53.82,40.72,Black,8.9,2215,Maize,
Maize,39.78,72.13,29.77,Clay,4.2,2870,Pulses,
Sugarcane,33.64,62.64,37.52,Red,5.5,284,Wheat,
Pulses,26.29,44.72,37.75,Clay,6.3,1816,Barley,
Millet,27.42,62.2,57.15,Sandy,6.8,1896,Tobacco,
Tobacco,32.51,53.53,45.88,Red,7.1,2103,Maize,
Sugarcane,33.57,54.09,68.48,Black,6.5,2155,Wheat,
Soybeans,30.06,57.82,29.93,Sandy,12.6,1473,Cotton,
Millet,40,75.94,34.96,Red,6.6,499,Tobacco,
Cotton,21.36,46.46,35.37,Clay,2.1,1457,Ground Nuts,
Cotton,30.85,62.03,23.42,Clay,0.2,2045,Ground Nuts,
Barley,32.9,63.12,47.43,Black,11.3,930,Sugarcane,
Sugarcane,29.42,72.78,42.89,Clay,0.1,599,Wheat,
Ground Nuts,38.27,63.65,41.45,Clay,9.3,2285,Oilseeds,
Tobacco,25.08,61.53,34.32,Loamy,9.8,1533,Maize,
Soybeans,27.4,56.09,57.66,Clay,2.8,1364,Cotton,
Pulses,31.91,46.26,41.51,Black,2.6,2690,Barley,
Maize,30.02,66.49,49.75,Loamy,6.4,1775,Pulses,
Maize,26.05,51.23,34.11,Loamy,0.8,2988,Pulses,
Tobacco,38.11,67.76,40.16,Loamy,11.7,1459,Maize,
Tobacco,25.82,44.33,29.18,Loamy,5,1072,Maize,
Ground Nuts,25.24,43.61,39.67,Loamy,5.5,988,Oilseeds,
Soybeans,23.39,59.65,40.74,Clay,5.1,1594,Cotton,
Barley,29.61,70.12,42.17,Red,11.4,2708,Sugarcane,
Pulses,33,55.09,52.37,Black,10.1,2348,Barley,
Barley,32.12,68.28,42.26,Red,5.9,746,Sugarcane,
Ground Nuts,33.34,73.86,48,Clay,11.5,2920,Oilseeds,
Barley,29.17,64.55,46.56,Sandy,2.3,904,Sugarcane,
Cotton,24.82,45.77,51.47,Clay,3.6,1446,Ground Nuts,
Sugarcane,27.19,46.21,27.99,Loamy,12.1,201,Wheat,
Ground Nuts,34.5,63.22,50.73,Loamy,1.4,1607,Oilseeds,
Pulses,31.98,45.3,30.75,Loamy,5.8,2771,Barley,
Pulses,31.7,73.98,42.06,Loamy,1.4,859,Barley,
Barley,30.25,60.34,33.5,Sandy,6.3,2185,Sugarcane,
Ground Nuts,38.47,55.14,50.1,Red,9.3,2163,Oilseeds,
Millet,35.84,62.15,67.16,Sandy,8.1,931,Tobacco,
Barley,26.29,62.82,38.28,Red,2.9,2748,Sugarcane,
Maize,35.77,67.17,42.53,Black,13.7,963,Pulses,
Wheat,27.14,68.62,46.27,Sandy,4.3,689,Soybeans,
Soybeans,32.99,70.55,34.22,Loamy,10.9,2960,Cotton,
Maize,33.14,50.64,55.05,Loamy,4.6,502,Pulses,
Barley,25.7,57.86,20,Loamy,13,1293,Sugarcane,
Wheat,27.27,42.2,47.49,Loamy,6.5,1753,Soybeans,
Tobacco,25.65,55.02,37.37,Red,8.2,872,Maize,
Maize,28.48,55.48,25.55,Loamy,11.2,2877,Pulses,
Cotton,26.12,60.43,58.13,Black,13.2,888,Ground Nuts,
Soybeans,22.99,44.67,30.17,Black,4.5,224,Cotton,
Wheat,35.57,70.66,40.03,Black,6.3,925,Soybeans,
Tobacco,25.78,57.76,65.12,Black,5.1,2801,Maize,
Cotton,38.93,72.28,67.64,Red,10.5,673,Ground Nuts,
Sugarcane,34.4,70.85,53.05,Black,10.3,1408,Wheat,
Sugarcane,23.28,45.27,43.77,Sandy,4.9,825,Wheat,
Wheat,29.27,65.89,70,Sandy,7.8,2331,Soybeans,
Tobacco,28.06,44.09,58.46,Red,1.9,1607,Maize,
Barley,29.55,60.62,45.99,Sandy,4.3,1693,Sugarcane,
Cotton,29.91,45.99,64.48,Sandy,5.7,570,Ground Nuts,
Maize,32.92,60.86,60.26,Clay,12.1,248,Pulses,
Cotton,36.6,61.48,20,Black,9.5,2871,Ground Nuts,
Tobacco,35.3,76.77,44.61,Red,0.2,2313,Maize,
Cotton,32.46,62.03,48,Red,11.3,2953,Ground Nuts,
Maize,31.52,57.93,68.2,Clay,7.7,2720,Pulses,
Sugarcane,28.54,55.75,38.08,Clay,11.6,1778,Wheat,
Barley,26.33,58.16,43.91,Red,12.9,1644,Sugarcane,
Soybeans,31.55,50.78,32.59,Loamy,12.4,2311,Cotton,
Pulses,25.7,62.98,30.45,Sandy,11.2,2231,Barley,
Soybeans,33.51,66.81,32.19,Loamy,5.2,965,Cotton,
Pulses,24.07,54.47,28.69,Loamy,13.3,2693,Barley,
Tobacco,37.03,73.51,35.21,Loamy,12.5,2779,Maize,
Cotton,29.52,56.55,31.92,Clay,13.7,544,Ground Nuts,
Barley,20.55,42.03,63.54,Black,14,2203,Sugarcane,
Sugarcane,33.35,71.63,38.11,Loamy,11,287,Wheat,
Cotton,30.33,51.05,33.36,Clay,0.8,1531,Ground Nuts,
Millet,31.18,55.84,28.31,Clay,0.5,2775,Tobacco,
Tobacco,32.56,68.67,23.64,Loamy,8.6,1957,Maize,
Maize,31.72,45.26,28.54,Clay,11.2,520,Pulses,
Ground Nuts,31.1,45.98,25.78,Black,0.4,1029,Oilseeds,
Barley,29.8,59.73,35.64,Red,13.6,1881,Sugarcane,
Tobacco,33.62,63.24,36.1,Clay,13.1,268,Maize,
Cotton,34.15,57.16,39.48,Sandy,10.6,1360,Ground Nuts,
Sugarcane,29.13,53.38,49.08,Red,7.1,1967,Wheat,
Barley,30.83,57.02,57.45,Loamy,6.5,1136,Sugarcane,
Tobacco,29.14,61.8,44.63,Loamy,6.4,2740,Maize,
Ground Nuts,26.79,61.62,45.64,Sandy,10.5,2483,Oilseeds,
Cotton,21.49,46.99,40.82,Sandy,10.7,2165,Ground Nuts,
Millet,35.36,56.86,36.82,Loamy,10.4,1833,Tobacco,
Tobacco,25.98,56.09,45.29,Sandy,13.3,1573,Maize,
Barley,25.86,45.62,35.68,Red,13,1250,Sugarcane,
Cotton,29.91,60.03,58.5,Clay,0.3,268,Ground Nuts,
Pulses,27.33,55.62,31.28,Clay,4.8,737,Barley,
Barley,34.51,68.73,69.9,Loamy,13.9,1709,Sugarcane,
Pulses,32.14,71.89,41.21,Loamy,13.6,554,Barley,
Wheat,34.01,63.87,51.24,Clay,2.4,2146,Soybeans,
Ground Nuts,30.01,59.57,35.04,Red,9.2,1670,Oilseeds,
Ground Nuts,35.19,65.14,22.12,Black,0.3,1523,Oilseeds,
Barley,28.81,54.94,41.6,Black,1.1,782,Sugarcane,
Soybeans,30.77,55.44,46.67,Clay,8.6,800,Cotton,
Wheat,32.43,56.6,64.19,Red,8.7,2388,Soybeans,
Soybeans,24.83,59.19,31.4,Clay,6.2,2649,Cotton,
Sugarcane,28.86,73.5,29.53,Black,5.9,2822,Wheat,
Barley,29.84,65.34,35.1,Sandy,10,2013,Sugarcane,
Cotton,38.76,56.94,56.53,Sandy,7.5,1235,Ground Nuts,
Cotton,35.24,66.47,51.44,Red,9,1623,Ground Nuts,
Millet,34.51,58.28,63.85,Clay,0.4,869,Tobacco,
Millet,23.93,60.03,29.73,Black,8.2,2875,Tobacco,
Pulses,28,58.95,32.66,Red,7.5,1142,Barley,
Tobacco,25.02,45.57,38.91,Black,6.8,2422,Maize,
Maize,30.76,50.1,44.85,Clay,5.4,1144,Pulses,
Maize,30.4,52.84,59.57,Clay,11,532,Pulses,
Ground Nuts,34.55,61.85,66.2,Clay,5.7,1731,Oilseeds,
Barley,23.54,47.71,27.92,Red,7.9,1125,Sugarcane,
Pulses,29.87,52.38,22.8,Black,5.2,1560,Barley,
Sugarcane,34.57,55.72,20,Loamy,13.8,522,Wheat,
Soybeans,31.63,50.38,31.45,Clay,12.9,2767,Cotton,
Maize,31.73,51.82,37.23,Sandy,8.8,1465,Pulses,
Barley,25.36,62.76,62.32,Clay,7.2,1560,Sugarcane,
Wheat,32.1,65.89,70,Clay,13.4,1228,Soybeans,
Soybeans,21.09,49.87,63.43,Red,9.1,1362,Cotton,
Cotton,36.17,73.15,60.09,Black,0.3,772,Ground Nuts,
Tobacco,38.68,76.72,57.16,Red,0.3,1594,Maize,
Wheat,31.23,66.32,27.49,Red,2.9,730,Soybeans,
Maize,31.19,71.44,46.39,Loamy,1,2251,Pulses,
Pulses,29.35,61.82,63.95,Sandy,13.2,514,Barley,
Sugarcane,27.41,56.77,45.73,Clay,6.9,2908,Wheat,
Cotton,32.63,66.83,49.59,Red,11.8,2905,Ground Nuts,
Cotton,34.33,58.34,39.98,Sandy,13.5,2592,Ground Nuts,
Tobacco,26.71,51.41,32.41,Clay,0.6,1787,Maize,
Pulses,30.66,66.4,52.44,Loamy,11.2,1909,Barley,
Cotton,30.59,56.93,49.01,Loamy,0.3,2895,Ground Nuts,
Cotton,29.75,47.56,33.26,Clay,13.5,1462,Ground Nuts,
Sugarcane,35.61,68.63,70,Red,13.6,838,Wheat,
Soybeans,31.43,54.96,40.98,Sandy,1.2,1456,Cotton,
Ground Nuts,31.37,74.91,34.64,Red,3.1,1791,Oilseeds,
Sugarcane,28.38,51.28,61.42,Sandy,9.1,223,Wheat,
Soybeans,31.44,70.97,62.81,Clay,0.6,2366,Cotton,
Maize,39.45,73.14,24.99,Sandy,9.2,793,Pulses,
Millet,24.78,50.29,39.4,Black,1.5,1704,Tobacco,
Soybeans,25.7,52.75,36.55,Red,2,859,Cotton,
Tobacco,29.06,71.99,38.56,Sandy,10.2,2629,Maize,
Wheat,26.27,55.47,33.28,Red,12.9,1039,Soybeans,
Ground Nuts,33.49,63.84,32.92,Clay,13.1,2478,Oilseeds,
Cotton,34.92,58.53,27.98,Clay,4.2,1655,Ground Nuts,
Cotton,22.93,52.54,39.37,Sandy,5.5,1028,Ground Nuts,
Maize,26.38,49.88,65.47,Black,11.1,1532,Pulses,
Cotton,34.28,68.8,43.11,Loamy,0.4,2285,Ground Nuts,
Maize,35.49,70.58,34.23,Clay,7.7,1786,Pulses,
Pulses,32.6,53.68,28.87,Clay,12.8,1471,Barley,
Millet,38.65,67.93,70,Loamy,6.5,1013,Tobacco,
Sugarcane,39.15,68.25,46.6,Loamy,7.7,1909,Wheat,
Wheat,32.15,57.42,26.8,Red,1.6,1925,Soybeans,
Wheat,32.8,61.46,58.5,Sandy,4.8,2924,Soybeans,
Pulses,39.01,65.01,46.91,Clay,13.6,2811,Barley,
Barley,32.04,64.28,62.11,Black,6.9,542,Sugarcane,
Sugarcane,24.88,43.56,53.5,Sandy,4.9,1828,Wheat,
Wheat,24.12,50.26,37.62,Loamy,6.4,921,Soybeans,
Maize,27.71,53.42,37.98,Black,8.7,2905,Pulses,
Soybeans,32.91,64.18,51.89,Sandy,9.2,1717,Cotton,
Sugarcane,37.05,69.22,44.58,Black,1,2967,Wheat,
Millet,30.03,65.12,38.84,Sandy,6,2475,Tobacco,
Pulses,23.9,43.28,43.12,Clay,7.6,1521,Barley,
Maize,30.41,63.03,49.09,Clay,13.9,1140,Pulses,
Sugarcane,29.86,50.94,70,Sandy,1,413,Wheat,
Tobacco,37.46,61.25,31.69,Clay,4.3,1509,Maize,
Millet,28.75,55.19,20,Loamy,6.1,2548,Tobacco,
Wheat,24.86,58.35,61.89,Red,10.7,2750,Soybeans,
Soybeans,27.63,58.09,46.23,Black,5.3,1941,Cotton,
Sugarcane,29.59,65.88,21.2,Sandy,12.2,1316,Wheat,
Maize,28.41,61.99,31.54,Red,10.9,1740,Pulses,
Ground Nuts,24.22,59.75,30.07,Black,12.8,2813,Oilseeds,
Pulses,37.05,66.11,38.47,Black,5.6,287,Barley,
Tobacco,28.28,67.72,55.83,Red,13.8,1017,Maize,
Maize,31.39,61.78,70,Red,10.7,511,Pulses,
Cotton,28.51,55.93,40.33,Red,7.2,2752,Ground Nuts,
Pulses,25.28,50.64,66.87,Red,11.3,2905,Barley,
Cotton,36.27,74.55,57.03,Sandy,8.8,2544,Ground Nuts,
Soybeans,29.28,55.6,41.79,Loamy,6.5,723,Cotton,
Pulses,40,72.78,38.48,Red,11.6,2304,Barley,
Sugarcane,25.08,45.08,31.07,Clay,13,2845,Wheat,
Cotton,29.35,67.05,31.67,Black,8.2,2899,Ground Nuts,
Tobacco,28.86,59.22,44.4,Sandy,3.1,974,Maize,
Sugarcane,27.1,55.35,36.61,Black,10.9,2443,Wheat,
Barley,28.09,50.46,25.38,Sandy,2.9,840,Sugarcane,
Barley,28.96,54.32,35.97,Sandy,5,2957,Sugarcane,
Pulses,27.67,57.87,33.61,Clay,1.4,1441,Barley,
Maize,29.34,49.57,20.01,Loamy,11.3,2529,Pulses,
Maize,28.57,50.93,44.78,Red,11.8,1938,Pulses,
Cotton,38.15,59.18,55.78,Clay,2.4,1392,Ground Nuts,
Millet,23.08,62.96,20,Sandy,8.9,1624,Tobacco,
Cotton,37.11,70.83,56.74,Clay,12.9,1385,Ground Nuts,
Tobacco,36.28,71.99,35.88,Red,9.5,1734,Maize,
Pulses,33.3,61.33,50.98,Black,1.2,1938,Barley,
Barley,26.17,53.24,51.31,Black,0.1,764,Sugarcane,
Wheat,34.55,58.92,68.9,Black,0.8,2251,Soybeans,
Pulses,34.69,78.28,43.78,Black,8.9,2783,Barley,
Pulses,29.02,67.93,55.54,Clay,0.1,697,Barley,
Tobacco,28.19,60.08,28.35,Red,0.5,1204,Maize,
Cotton,38.69,61.57,53.46,Black,0.3,1224,Ground Nuts,
Cotton,25.55,62.37,41.64,Loamy,0.8,1588,Ground Nuts,
Pulses,31.75,58.98,56.2,Clay,10.3,246,Barley,
Soybeans,30.51,64.47,31.19,Sandy,5.7,2882,Cotton,
Maize,24.18,53.12,59.3,Clay,3,323,Pulses,
Maize,30.65,47.72,37.49,Clay,1.4,2908,Pulses,
Tobacco,29.91,59.7,54.67,Clay,8.9,354,Maize,
Maize,34.12,63.6,27.97,Red,12.5,490,Pulses,
Soybeans,30.51,52.48,23.64,Clay,6.1,2034,Cotton,
Tobacco,28.09,61.48,39.32,Black,10.8,1957,Maize,
Ground Nuts,24.12,53.65,35.22,Sandy,7.3,2868,Oilseeds,
Sugarcane,33.21,64.79,31.54,Clay,3.5,1227,Wheat,
Barley,36.7,62.62,24.01,Red,6.5,2644,Sugarcane,
Cotton,34.03,55.38,49.19,Sandy,1.3,1065,Ground Nuts,
Sugarcane,24.49,51.98,67.62,Clay,2,2492,Wheat,
Ground Nuts,29.92,57.58,44.49,Loamy,6.3,2806,Oilseeds,
Maize,33.42,65.41,63.33,Black,7.5,2530,Pulses,
Ground Nuts,29.32,57.18,70,Clay,13.5,1076,Oilseeds,
Ground Nuts,35.27,69.93,44.23,Sandy,3.4,2382,Oilseeds,
Cotton,34.35,67.37,55.82,Red,2,1403,Ground Nuts,
Pulses,27.52,62.28,31.71,Sandy,3.2,1427,Barley,
Ground Nuts,33.94,62.1,56.9,Red,11.3,2270,Oilseeds,
Sugarcane,24.78,59.94,49.61,Clay,8.3,273,Wheat,
Wheat,33.97,73.31,26.07,Sandy,7.9,1434,Soybeans,
Tobacco,34.04,73,36.41,Clay,12.5,1956,Maize,
Millet,29.03,51.28,59.83,Clay,4.4,2007,Tobacco,
Wheat,24.13,65.79,35.41,Red,1.3,1798,Soybeans,
Maize,37.53,67.28,40.79,Clay,10.8,1097,Pulses,
Cotton,27.94,59.27,46.39,Black,12.6,201,Ground Nuts,
Tobacco,26.2,66.49,58.35,Black,4.7,2956,Maize,
Maize,30.71,58.51,42.79,Sandy,12.9,1089,Pulses,
Ground Nuts,37.97,62.65,56.53,Red,13.8,796,Oilseeds,
Maize,35.46,70.84,62.84,Black,13.8,2573,Pulses,
Cotton,33.82,61.25,59.51,Black,13.4,822,Ground Nuts,
Soybeans,29.05,54.64,49.53,Clay,12.4,1216,Cotton,
Millet,40,72.25,45.19,Clay,3.9,1320,Tobacco,
Maize,22.51,50.31,30.59,Clay,11,1714,Pulses,
Wheat,32.06,78.41,36.96,Loamy,3.4,518,Soybeans,
Tobacco,32.83,59.11,29.94,Clay,5.5,2965,Maize,
Sugarcane,28.99,56.86,47.2,Red,6.2,382,Wheat,
Tobacco,31.08,73.05,43.81,Black,0.3,2555,Maize,
Soybeans,36.75,71.25,31.9,Sandy,6.6,464,Cotton,
Soybeans,29.59,64.77,26.04,Red,5.3,2227,Cotton,
Sugarcane,29.95,61.65,70,Loamy,12.9,2262,Wheat,
Maize,28.74,51.47,58.63,Clay,2.9,2660,Pulses,
Ground Nuts,37.6,71.43,54.12,Clay,5.7,2858,Oilseeds,
Wheat,38.31,77.54,38.22,Black,8.8,2015,Soybeans,
Pulses,33.09,65.12,37.71,Red,4.3,2513,Barley,
Sugarcane,40,58.41,25.99,Clay,8.3,1734,Wheat,
Millet,23.4,62.09,20,Clay,6.4,2273,Tobacco,
Maize,22.76,48.08,34.55,Loamy,1.9,1366,Pulses,
Maize,23.01,46.97,52.66,Sandy,1.5,1253,Pulses,
Barley,36.87,74.71,25.27,Sandy,13.9,1486,Sugarcane,
Pulses,26.86,50.54,67.65,Loamy,5.5,1762,Barley,
Barley,30.79,62.82,29.74,Black,13,676,Sugarcane,
Pulses,37.88,56.28,34.78,Sandy,1.3,2627,Barley,
Pulses,29.22,68.58,68.54,Clay,5.5,1785,Barley,
Barley,34.83,74.84,38.55,Clay,11.8,2986,Sugarcane,
Barley,40,72.53,69.09,Loamy,8.9,626,Sugarcane,
Sugarcane,32.53,66.27,24.96,Red,2.8,2960,Wheat,
Millet,34.05,57.39,35.01,Loamy,10.2,2746,Tobacco,
Ground Nuts,33.84,78.28,54.01,Sandy,11.6,1587,Oilseeds,
Soybeans,26.13,59.47,53.78,Black,11.4,1982,Cotton,
Wheat,32.31,65.98,51.84,Red,10.9,1496,Soybeans,
Maize,27.78,63.49,36.53,Red,10.6,1555,Pulses,
Barley,30.03,59.76,24.55,Sandy,0.6,1132,Sugarcane,
Ground Nuts,28.6,61.06,46.54,Black,1.3,1070,Oilseeds,
Barley,36.31,72.79,46.6,Sandy,5.7,1705,Sugarcane,
Pulses,25.53,60.96,23.48,Black,13.2,2923,Barley,
Cotton,32.69,55.03,46.23,Black,3,2015,Ground Nuts,
Pulses,30.11,57.34,25.96,Loamy,10.6,1862,Barley,
Sugarcane,27.71,61.57,28.73,Loamy,8.1,650,Wheat,
Maize,32.34,57.71,24.9,Loamy,10.6,1498,Pulses,
Tobacco,38.2,60.72,31.82,Sandy,13.6,1084,Maize,
Barley,38.64,77.51,43,Sandy,6,1705,Sugarcane,
Maize,27.61,69.47,34.64,Black,13.3,2323,Pulses,
Soybeans,29.73,65.44,62.54,Sandy,4.9,366,Cotton,
Wheat,27.55,50.87,37.69,Loamy,6.3,2935,Soybeans,
Cotton,27.77,68.01,52.99,Black,8.4,2382,Ground Nuts,
Tobacco,31.08,59.06,47.05,Sandy,5.2,1172,Maize,
Barley,27.26,62.16,33.59,Black,12.5,1259,Sugarcane,
Ground Nuts,24.69,55.52,22.39,Clay,6.7,1657,Oilseeds,
Wheat,33.35,65.13,26.44,Clay,4.6,2051,Soybeans,
Sugarcane,33.4,49.71,50.01,Clay,3.9,2695,Wheat,
Barley,32.29,62.66,37.32,Clay,2,2414,Sugarcane,
Tobacco,35.91,64.54,51.18,Clay,6,1612,Maize,
Sugarcane,23.18,59.48,46.95,Sandy,4,2536,Wheat,
Barley,37.6,61.35,36.62,Red,3.8,640,Sugarcane,
Wheat,34.08,67.3,66.45,Black,10.4,2920,Soybeans,
Cotton,38.16,64.57,44.12,Sandy,8.9,1087,Ground Nuts,
Cotton,34.31,75.92,40.55,Clay,6.1,327,Ground Nuts,
Cotton,28.13,62.39,53.4,Loamy,1.5,2984,Ground Nuts,
Pulses,25.04,66.1,46.92,Clay,6.2,1834,Barley,
Tobacco,35.22,56.07,66.76,Red,10.2,1319,Maize,
Wheat,33.39,58.29,46.97,Black,0.4,2028,Soybeans,
Ground Nuts,31.97,56.43,38.33,Red,2.8,1783,Oilseeds,
Sugarcane,29.39,52.92,44.26,Red,2.7,1265,Wheat,
Wheat,28.99,57.8,41.7,Black,3,510,Soybeans,
Barley,31.7,60.31,42.96,Loamy,13.1,576,Sugarcane,
Maize,28.82,62.02,40.63,Clay,12.3,803,Pulses,
Millet,27.04,53.79,60.68,Black,10.2,461,Tobacco,
Millet,28.31,66.5,29.81,Clay,3.8,1474,Tobacco,
Wheat,27.83,55.13,30.2,Loamy,8.5,397,Soybeans,
Soybeans,30.04,58.87,38.82,Clay,3,1338,Cotton,
Wheat,35.85,70.43,52.65,Black,11.8,250,Soybeans,
Soybeans,32.69,55.16,54.36,Red,7.1,2141,Cotton,
Tobacco,25.42,55.67,20,Loamy,1.9,277,Maize,
Cotton,36.08,58.63,55.26,Black,4.2,2079,Ground Nuts,
Maize,32.87,55.38,34.81,Loamy,3.1,328,Pulses,
Barley,33.54,64.83,36.55,Clay,6,2781,Sugarcane,
Pulses,24.47,48.83,63.87,Clay,8.2,440,Barley,
Cotton,30.37,59.55,46.99,Sandy,11,1212,Ground Nuts,
Cotton,34.67,56.47,33.94,Black,13.3,458,Ground Nuts,
Maize,30.85,62.67,70,Loamy,1.7,2361,Pulses,
Tobacco,30.26,51.93,67.2,Sandy,0.1,2248,Maize,
